time,Latitude,Longitude,altitude,PM-2.5,Temp.
2020-08-30 07:04:59,26.9198169,75.79568499999999,435.77,22,30
2020-08-30 07:05:01,26.919784000000003,75.7957776,436.33,22,30
2020-08-30 07:05:02,26.919764899999997,75.7958289,436.22,24,30
2020-08-30 07:05:03,26.9197436,75.79589370000001,436.32,11,30
2020-08-30 07:05:04,26.919731,75.7959455,436.84,24,30
2020-08-30 07:05:06,26.919677500000002,75.79604559999999,433.73,16,30
2020-08-30 07:05:07,26.9196577,75.7961143,434.1,16,30
2020-08-30 07:05:08,26.919633,75.7962113,433.5,25,30
2020-08-30 07:05:09,26.919610600000002,75.7962849,433.38,23,30
2020-08-30 07:05:10,26.9195892,75.796364,430.82,12,30
2020-08-30 07:05:12,26.919543100000006,75.79652320000001,430.19,15,30
2020-08-30 07:05:13,26.919523499999997,75.7965876,430.27,21,30
2020-08-30 07:05:14,26.919504800000002,75.796653,430.1,17,31
2020-08-30 07:05:15,26.9194727,75.79675329999999,430.14,14,31
2020-08-30 07:05:16,26.919451199999997,75.7968196,430.81,17,31
2020-08-30 07:05:18,26.919385600000002,75.79700820000001,431.37,22,31
2020-08-30 07:05:19,26.919362699999997,75.797072,431.53,22,31
2020-08-30 07:05:20,26.919338500000002,75.797139,431.78,27,31
2020-08-30 07:05:21,26.919307300000003,75.79722779999999,431.41,28,31
2020-08-30 07:05:22,26.919263399999995,75.7973597,429.15,21,31
2020-08-30 07:05:24,26.919200800000002,75.7975503,429.24,33,31
2020-08-30 07:05:25,26.919167600000005,75.7976466,428.32,26,31
2020-08-30 07:05:26,26.919147600000002,75.79770490000001,428.81,27,31
2020-08-30 07:05:27,26.919107699999998,75.7978203,429.15,34,31
2020-08-30 07:05:29,26.919048600000004,75.7979995,428.42,23,31
2020-08-30 07:05:30,26.9190136,75.79810140000001,428.28,24,31
2020-08-30 07:05:31,26.9189906,75.79816740000001,428.06,22,31
2020-08-30 07:05:32,26.918967699999996,75.7982329,427.96,23,31
2020-08-30 07:05:33,26.918921899999997,75.798358,425.95,25,31
2020-08-30 07:05:35,26.9188672,75.7985025,426.12,30,31
2020-08-30 07:05:36,26.9188461,75.7985564,426.25,178,31
2020-08-30 07:05:37,26.918820500000002,75.7986214,426.4,198,31
2020-08-30 07:05:38,26.9187956,75.79868590000001,426.44,225,31
2020-08-30 07:05:39,26.9187684,75.7987647,426.36,359,31
2020-08-30 07:05:41,26.9187198,75.7989093,426.56,272,31
2020-08-30 07:05:42,26.9186952,75.7989854,426.39,202,31
2020-08-30 07:05:43,26.9186722,75.7990598,426.42,148,31
2020-08-30 07:05:44,26.918647600000003,75.79913509999999,427.98,82,31
2020-08-30 07:05:45,26.918621899999998,75.7992155,428.69,60,31
2020-08-30 07:05:47,26.918560600000003,75.7993856,428.77,56,31
2020-08-30 07:05:48,26.918541100000002,75.79943990000001,428.86,43,31
2020-08-30 07:05:49,26.918497499999997,75.79956640000002,428.4,40,31
2020-08-30 07:05:50,26.918485200000003,75.79960159999999,428.74,64,31
2020-08-30 07:05:52,26.9184137,75.79980690000001,427.46,34,31
2020-08-30 07:05:53,26.9183798,75.79990579999999,426.73,42,31
2020-08-30 07:05:54,26.9183588,75.7999685,427.09,169,31
2020-08-30 07:05:55,26.9183396,75.80002840000002,427.43,125,31
2020-08-30 07:05:56,26.918311199999998,75.80011479999999,426.46,183,31
2020-08-30 07:05:58,26.91827,75.80024870000001,425.95,373,31
2020-08-30 07:05:59,26.918249,75.8003149,426.62,245,31
2020-08-30 07:06:00,26.9182281,75.8003822,426.32,362,31
2020-08-30 07:06:01,26.9182071,75.800451,426.86,89,31
2020-08-30 07:06:02,26.9181847,75.8005166,427.29,54,31
2020-08-30 07:06:04,26.918128399999997,75.8006505,427.32,54,31
2020-08-30 07:06:05,26.9181012,75.8007037,427.23,72,31
2020-08-30 07:06:06,26.918072,75.80075459999999,426.37,58,32
2020-08-30 07:06:07,26.918043400000002,75.8008034,428.5,56,32
2020-08-30 07:06:08,26.918019399999995,75.80085150000001,428.01,75,32
2020-08-30 07:06:10,26.917966800000002,75.8009527,428.06,55,32
2020-08-30 07:06:11,26.9179435,75.80100290000001,428.08,62,32
2020-08-30 07:06:12,26.9179178,75.8010536,428.54,72,32
2020-08-30 07:06:13,26.917890600000003,75.8011056,428.49,79,32
2020-08-30 07:06:15,26.9178483,75.8011748,428.9,84,32
2020-08-30 07:06:16,26.917826399999996,75.80120500000001,428.99,67,32
2020-08-30 07:06:17,26.9178057,75.80123,428.88,79,32
2020-08-30 07:06:18,26.917777100000002,75.801259,429.24,75,32
2020-08-30 07:06:19,26.917757199999997,75.801277,429.49,75,32
2020-08-30 07:06:21,26.917692699999996,75.80130799999999,429.9,73,32
2020-08-30 07:06:22,26.9176544,75.8013054,429.85,75,32
2020-08-30 07:06:23,26.9176277,75.80129740000001,429.86,65,32
2020-08-30 07:06:24,26.917592300000003,75.80127790000002,427.22,58,32
2020-08-30 07:06:25,26.9175782,75.8012702,427.17,57,32
2020-08-30 07:06:27,26.917507500000003,75.8012305,428.41,63,32
2020-08-30 07:06:28,26.9174865,75.80121679999999,428.72,42,32
2020-08-30 07:06:29,26.917457899999995,75.8011958,428.9,86,32
2020-08-30 07:06:30,26.917446999999996,75.8011877,428.97,69,32
2020-08-30 07:06:31,26.9174136,75.80116459999999,431.27,66,32
2020-08-30 07:06:33,26.9173717,75.8011415,432.19,47,32
2020-08-30 07:06:34,26.917357300000003,75.80113459999998,432.05,53,32
2020-08-30 07:06:35,26.9173391,75.801126,433.88,50,32
2020-08-30 07:06:36,26.9173206,75.8011195,433.61,60,32
2020-08-30 07:06:38,26.9172808,75.8011082,433.72,47,32
2020-08-30 07:06:39,26.917256199999997,75.8011002,434.02,34,32
2020-08-30 07:06:40,26.9172329,75.8010946,434.26,40,32
2020-08-30 07:06:41,26.917223800000002,75.8010927,434.21,46,32
2020-08-30 07:06:42,26.9172049,75.8010886,439.77,44,32
2020-08-30 07:06:44,26.917166899999998,75.8010795,440.17,52,32
2020-08-30 07:06:45,26.9171528,75.8010772,440.22,50,32
